PSMC4,PSMA7
PSMC4,UBC
PSMC4,PSMB7
PSMC4,PSMD12
PSMC4,PSMA8
PSMC4,PSMB5
PSMC4,USP14
PSMC4,PSMA4
PSMC4,PSMD6
PSMC4,DESI1
PSMC4,PSMD11
PSMC4,PSMA6
PSMC4,PSMB9
PSMC4,ADRM1
PSMC4,PSMD8
DERL2,SELENOS
DERL2,SEL1L
DERL2,FAF2
DERL2,EMC1
DERL2,ERLEC1
DERL2,VCP
DERL2,DERL3
DERL2,OS9
DERL2,DERL1
DERL2,SYVN1
DERL2,EMC2
DERL2,AUP1
DERL2,EMC3
DERL2,AMFR
NOX3,NCF1
NOX3,NOXO1
NOX3,DUOX2
